CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
HX321821,06/27/2014 11:08:00 PM2014.06.27 at 23:08,012XX W 83RD ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,N,Y,613,21,08B,1169733,1849790,41.74332,-87.65366
HX321823,06/27/2014 11:15:00 PM2014.06.27 at 23:15,074XX S RHODES AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,323,6,08B,0,0,0.0,0.0
HX321834,06/27/2014 10:40:00 PM2014.06.27 at 22:40,004XX W 44TH PL,0560,ASSAULT,SIMPLE,RESIDENCE,N,Y,925,11,08A,1173950,1875469,41.813694,-87.63745
HX321848,06/28/2014 12:45:00 AM2014.06.28 at 00:45,079XX S CHAMPLAIN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,624,6,08B,1181910,1852223,41.749725,-87.60898
HX321858,06/28/2014 12:00:00 AM2014.06.28 at 00:00,001XX S LEAMINGTON AVE,0820,THEFT,$500 AND UNDER,APARTMENT,N,Y,1533,28,06,1142112,1899075,41.87912,-87.753654
HX321869,06/28/2014 01:00:00 AM2014.06.28 at 01:00,044XX S WELLS ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,925,3,08B,1175407,1875139,41.812756,-87.63212
HX321871,06/27/2014 11:56:00 PM2014.06.27 at 23:56,083XX W BERWYN AVE,0560,ASSAULT,SIMPLE,RESIDENCE,Y,Y,1614,41,08A,1119749,1934099,41.975616,-87.83502
HX321873,06/27/2014 11:45:00 PM2014.06.27 at 23:45,010XX N DRAKE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,1121,27,08B,1152564,1906576,41.899506,-87.71508
HX321875,06/27/2014 11:25:00 PM2014.06.27 at 23:25,058XX N TALMAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2011,40,08B,1157651,1938741,41.987667,-87.69552
HX321876,06/28/2014 12:10:00 AM2014.06.28 at 00:10,014XX W 114TH PL,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,Y,2234,34,14,1168289,1828761,41.685646,-87.65956
HX321880,06/28/2014 12:02:00 AM2014.06.28 at 00:02,068XX S ROCKWELL ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,832,15,08B,1160265,1859004,41.768806,-87.6881
HX321884,06/28/2014 12:03:00 AM2014.06.28 at 00:03,076XX S COLFAX AVE,0560,ASSAULT,SIMPLE,APARTMENT,N,Y,421,7,08A,1194814,1854622,41.756,-87.561615
HX321893,06/28/2014 12:06:00 AM2014.06.28 at 00:06,009XX W 116TH PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,524,34,08B,1172190,1827638,41.68248,-87.64531
HX321894,06/28/2014 12:13:00 AM2014.06.28 at 00:13,017XX N MANGO AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENTIAL YARD (FRONT/BACK),N,Y,2531,29,08B,1137847,1910840,41.911484,-87.769035
HX321898,06/27/2014 11:59:00 PM2014.06.27 at 23:59,073XX S MAY ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,STREET,N,Y,733,17,26,1169888,1855959,41.760246,-87.65292
HX321900,06/28/2014 12:45:00 AM2014.06.28 at 00:45,0000X E 72ND ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,323,6,08B,1178288,1857264,41.76364,-87.62209
HX321904,06/28/2014 01:00:00 AM2014.06.28 at 01:00,077XX S EMERALD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,OTHER,N,Y,621,17,08B,1172689,1853287,41.752853,-87.64273
HX321914,06/28/2014 12:40:00 AM2014.06.28 at 00:40,080XX S EBERHART AVE,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,APARTMENT,N,Y,631,6,04A,1180937,1851581,41.747986,-87.612564
HX321920,06/28/2014 12:40:00 AM2014.06.28 at 00:40,017XX N WINNEBAGO AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1434,1,08B,1161159,1911574,41.913044,-87.68337
HX321932,06/28/2014 12:30:00 AM2014.06.28 at 00:30,049XX W RICE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1531,37,08B,1143468,1905170,41.89582,-87.74853
HX321934,06/28/2014 01:00:00 AM2014.06.28 at 01:00,009XX W LAWRENCE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,CTA TRAIN,N,Y,2024,48,08B,0,0,0.0,0.0
HX321950,06/27/2014 10:50:00 PM2014.06.27 at 22:50,008XX N LAWNDALE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,Y,Y,1112,27,14,1151602,1905484,41.896526,-87.71864
HX321959,06/28/2014 01:05:00 AM2014.06.28 at 01:05,014XX S HAMLIN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1011,24,08B,1151326,1892522,41.860962,-87.71999
HX321972,06/28/2014 01:15:00 AM2014.06.28 at 01:15,071XX S CRANDON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,333,5,08B,1192740,1858236,41.76597,-87.56909
HX321975,06/28/2014 02:05:00 AM2014.06.28 at 02:05,092XX S LUELLA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,N,Y,413,7,08B,1192830,1843938,41.72673,-87.56923
HX321991,06/29/2014 02:00:00 AM2014.06.29 at 02:00,058XX S SAWYER AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,Y,822,14,14,1155671,1865877,41.78776,-87.70476
HX322001,06/27/2014 08:00:00 PM2014.06.27 at 20:00,007XX S KILBOURN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,1131,24,08B,1146491,1896072,41.8708,-87.737656
HX322019,06/28/2014 02:45:00 AM2014.06.28 at 02:45,052XX S PAULINA ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,932,16,08B,1165934,1870139,41.799244,-87.66701
HX322041,06/28/2014 03:00:00 AM2014.06.28 at 03:00,023XX W JACKSON BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1225,2,08B,1160793,1898681,41.877674,-87.685074
HX322061,06/28/2014 03:45:00 AM2014.06.28 at 03:45,072XX S BELL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,832,18,08B,1162612,1856811,41.76274,-87.679565
HX322091,06/28/2014 03:40:00 AM2014.06.28 at 03:40,066XX S HARVARD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,Y,722,6,14,1175176,1860700,41.77314,-87.6334
HX322093,06/28/2014 04:30:00 AM2014.06.28 at 04:30,091XX S JEFFERY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,413,8,08B,1191073,1844501,41.728317,-87.575645
HX322094,06/28/2014 03:00:00 AM2014.06.28 at 03:00,058XX W FILLMORE ST,0560,ASSAULT,SIMPLE,RESIDENCE,N,Y,1513,29,08A,1137696,1894715,41.867237,-87.76997
HX322096,06/28/2014 04:25:00 AM2014.06.28 at 04:25,026XX N NEWCASTLE AVE,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,APARTMENT,Y,Y,2512,36,26,1130261,1916942,41.928364,-87.79676
HX322103,06/28/2014 01:40:00 AM2014.06.28 at 01:40,036XX W HARRISON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,1133,24,08B,1152409,1897082,41.873455,-87.7159
HX322111,06/27/2014 11:45:00 PM2014.06.27 at 23:45,0000X E 56TH ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,Y,225,20,26,1177980,1867882,41.792786,-87.6229
